timestamp,open,high,low,close,volume,vw,n
1262541600,133.073,133.158,133.02,133.045,83.0,133.045,83
1262545200,133.041,133.088,132.998,133.013,224.0,133.013,224
1262548800,133.009,133.076,132.989,133.002,185.0,133.002,185
1262552400,132.998,133.074,132.959,133.008,317.0,133.008,317
1262556000,133.004,133.366,132.972,133.127,1270.0,133.127,1270
1262559600,133.131,133.275,132.739,132.778,1532.0,132.778,1532
1262563200,132.782,132.995,132.669,132.747,1998.0,132.747,1998
1262566800,132.743,132.801,132.605,132.695,1446.0,132.695,1446
1262570400,132.699,132.79,132.639,132.77,967.0,132.77,967
1262574000,132.766,132.781,132.388,132.511,766.0,132.511,766
1262577600,132.515,132.634,132.48,132.534,617.0,132.534,617
1262581200,132.537,132.866,132.512,132.822,774.0,132.822,774
1262584800,132.819,133.025,132.69,133.025,1563.0,133.025,1563
1262588400,133.022,133.181,132.867,133.093,2217.0,133.093,2217
1262592000,133.089,133.174,132.94,133.121,2321.0,133.121,2321
1262595600,133.126,133.602,133.091,133.59,2055.0,133.59,2055
1262599200,133.587,133.655,133.453,133.613,1472.0,133.613,1472
1262602800,133.616,133.762,133.534,133.534,1537.0,133.534,1537
1262606400,133.53,133.794,133.512,133.686,1338.0,133.686,1338
1262610000,133.69,133.723,133.547,133.614,2011.0,133.614,2011
1262613600,133.619,133.747,133.54,133.589,2323.0,133.589,2323
1262617200,133.593,133.722,133.147,133.358,3364.0,133.358,3364
1262620800,133.355,133.525,133.278,133.458,1735.0,133.458,1735
1262624400,133.453,133.634,133.376,133.614,1190.0,133.614,1190
1262628000,133.611,133.626,133.47,133.477,813.0,133.477,813
1262631600,133.481,133.566,133.41,133.446,704.0,133.446,704
1262635200,133.449,133.5,133.39,133.428,728.0,133.428,728
1262638800,133.431,133.446,133.307,133.336,577.0,133.336,577
1262642400,133.313,133.416,133.188,133.205,549.0,133.205,549
1262646000,133.201,133.444,133.16,133.401,643.0,133.401,643
1262649600,133.398,133.474,133.143,133.184,1567.0,133.184,1567
1262653200,133.18,133.209,132.856,133.06,1739.0,133.06,1739
1262656800,133.064,133.11,132.846,132.976,1152.0,132.976,1152
1262660400,132.97,133.012,132.866,132.922,768.0,132.922,768
1262664000,132.918,132.972,132.256,132.302,2325.0,132.302,2325
1262667600,132.298,132.698,132.148,132.618,1957.0,132.618,1957
1262671200,132.622,132.8,132.588,132.752,1354.0,132.752,1354
1262674800,132.756,132.946,132.692,132.808,1771.0,132.808,1771
1262678400,132.812,132.828,132.482,132.558,2162.0,132.558,2162
1262682000,132.554,132.718,132.486,132.61,1851.0,132.61,1851
1262685600,132.606,132.678,132.48,132.57,1280.0,132.57,1280
1262689200,132.566,132.836,132.532,132.798,1309.0,132.798,1309
1262692800,132.794,132.88,132.674,132.742,1399.0,132.742,1399
1262696400,132.738,132.792,132.308,132.38,2072.0,132.38,2072
1262700000,132.376,132.376,131.634,131.634,2809.0,131.634,2809
1262703600,131.639,132.156,131.49,131.964,2618.0,131.964,2618
1262707200,131.968,132.1,131.708,131.75,1810.0,131.75,1810
1262710800,131.754,131.8,131.61,131.772,1339.0,131.772,1339
1262714400,131.768,131.768,131.456,131.552,1420.0,131.552,1420
1262718000,131.548,131.832,131.53,131.832,885.0,131.832,885
1262721600,131.828,131.832,131.684,131.728,617.0,131.728,617
1262725200,131.724,131.815,131.693,131.744,398.0,131.744,398
1262728800,131.759,131.871,131.731,131.76,555.0,131.76,555
1262732400,131.76,131.787,131.474,131.525,789.0,131.525,789
1262736000,131.528,131.653,131.265,131.462,1664.0,131.462,1664
1262739600,131.466,132.042,131.462,131.875,1775.0,131.875,1775
1262743200,131.879,131.925,131.716,131.805,1024.0,131.805,1024
1262746800,131.801,132.069,131.785,131.924,873.0,131.924,873
1262750400,131.927,132.189,131.927,132.16,852.0,132.16,852
1262754000,132.163,132.245,132.069,132.165,965.0,132.165,965
1262757600,132.169,132.217,131.631,131.819,2225.0,131.819,2225
1262761200,131.823,132.086,131.591,132.007,2816.0,132.007,2816
1262764800,132.011,132.148,131.922,132.141,1901.0,132.141,1901
1262768400,132.145,132.812,132.133,132.759,2070.0,132.759,2070
1262772000,132.764,132.796,132.65,132.743,1576.0,132.743,1576
1262775600,132.746,132.782,132.653,132.671,1154.0,132.671,1154
1262779200,132.674,132.685,132.528,132.544,1159.0,132.544,1159
1262782800,132.541,132.678,132.297,132.366,2418.0,132.366,2418
1262786400,132.37,132.735,132.284,132.728,2168.0,132.728,2168
1262790000,132.724,133.33,132.629,133.303,3026.0,133.303,3026
1262793600,133.306,133.488,133.166,133.287,2067.0,133.287,2067
1262797200,133.284,133.319,133.16,133.238,802.0,133.238,802
1262800800,133.234,133.292,133.164,133.262,751.0,133.262,751
1262804400,133.266,133.358,133.106,133.192,2417.0,133.192,2417
1262808000,133.189,133.276,133.15,133.15,858.0,133.15,858
1262811600,133.15,133.168,132.96,133.013,598.0,133.013,598
1262815200,133.026,133.08,132.908,132.992,512.0,132.992,512
1262818800,132.992,133.112,132.927,133.031,581.0,133.031,581
1262822400,133.027,133.389,132.936,133.254,2221.0,133.254,2221
1262826000,133.251,133.31,133.092,133.1,1296.0,133.1,1296
1262829600,133.104,133.122,132.809,132.941,1087.0,132.941,1087
1262833200,132.944,132.995,132.753,132.768,641.0,132.768,641
1262836800,132.771,133.007,132.761,132.886,831.0,132.886,831
1262840400,132.89,132.909,132.547,132.694,1139.0,132.694,1139
1262844000,132.691,133.354,132.392,133.239,2814.0,133.239,2814
1262847600,133.244,133.584,133.115,133.492,2869.0,133.492,2869
1262851200,133.495,133.517,133.045,133.136,2072.0,133.136,2072
1262854800,133.139,133.473,133.139,133.306,1825.0,133.306,1825
1262858400,133.31,133.382,133.221,133.34,1373.0,133.34,1373
1262862000,133.337,133.371,133.221,133.317,1350.0,133.317,1350
1262865600,133.314,133.578,133.303,133.505,2059.0,133.505,2059
1262869200,133.501,133.663,133.352,133.399,3254.0,133.399,3254
1262872800,133.395,133.585,133.363,133.463,2312.0,133.463,2312
1262876400,133.466,133.611,133.355,133.529,1757.0,133.529,1757
1262880000,133.532,133.568,133.308,133.568,1740.0,133.568,1740
1262883600,133.572,133.634,133.409,133.444,1351.0,133.444,1351
1262887200,133.447,133.534,133.262,133.262,753.0,133.262,753
1262890800,133.258,133.475,133.215,133.421,947.0,133.421,947
1262894400,133.417,133.637,133.405,133.517,1543.0,133.517,1543
1262898000,133.52,133.612,133.497,133.595,740.0,133.595,740
