timestamp,open,high,low,close,volume,vw,n
1262541600,150.358,150.361,150.102,150.136,80.0,150.136,80
1262545200,150.127,150.204,150.036,150.131,192.0,150.131,192
1262548800,150.134,150.178,150.081,150.099,134.0,150.099,134
1262552400,150.095,150.155,149.769,149.814,626.0,149.814,626
1262556000,149.81,150.108,149.764,149.86,1989.0,149.86,1989
1262559600,149.856,150.008,149.61,149.687,3271.0,149.687,3271
1262563200,149.69,149.897,149.469,149.769,5071.0,149.769,5071
1262566800,149.767,149.854,149.611,149.611,3966.0,149.611,3966
1262570400,149.607,149.706,149.453,149.637,2830.0,149.637,2830
1262574000,149.635,149.635,149.087,149.234,2342.0,149.234,2342
1262577600,149.231,149.326,149.157,149.231,2070.0,149.231,2070
1262581200,149.233,149.498,149.169,149.48,2114.0,149.48,2114
1262584800,149.478,149.707,149.302,149.707,4414.0,149.707,4414
1262588400,149.704,149.96,149.485,149.779,5733.0,149.779,5733
1262592000,149.777,150.13,149.723,149.984,6222.0,149.984,6222
1262595600,149.988,150.458,149.961,150.391,6692.0,150.391,6692
1262599200,150.387,150.721,150.155,150.333,4895.0,150.333,4895
1262602800,150.335,150.615,150.335,150.53,4136.0,150.53,4136
1262606400,150.528,150.551,149.852,149.962,5603.0,149.962,5603
1262610000,149.958,150.075,149.676,149.737,4757.0,149.737,4757
1262613600,149.735,149.9,149.552,149.715,5621.0,149.715,5621
1262617200,149.719,149.906,148.663,148.873,8459.0,148.873,8459
1262620800,148.869,149.251,148.803,149.087,4828.0,149.087,4828
1262624400,149.089,149.478,149.008,149.478,2729.0,149.478,2729
1262628000,149.48,149.494,149.082,149.092,1982.0,149.092,1982
1262631600,149.094,149.172,149.004,149.014,1639.0,149.014,1639
1262635200,149.016,149.078,148.912,149.074,1707.0,149.074,1707
1262638800,149.076,149.078,148.793,148.793,1476.0,148.793,1476
1262642400,148.791,148.961,148.651,148.709,1188.0,148.709,1188
1262646000,148.707,149.094,148.666,149.018,1670.0,149.018,1670
1262649600,149.014,149.158,148.708,148.752,3703.0,148.752,3703
1262653200,148.754,148.784,148.208,148.372,4295.0,148.372,4295
1262656800,148.374,148.508,148.276,148.468,3091.0,148.468,3091
1262660400,148.466,148.514,148.196,148.265,1932.0,148.265,1932
1262664000,148.263,148.317,147.428,147.536,5595.0,147.536,5595
1262667600,147.534,148.067,147.38,147.922,4541.0,147.922,4541
1262671200,147.925,148.239,147.892,148.106,3464.0,148.106,3464
1262674800,148.108,148.416,147.89,147.954,5353.0,147.954,5353
1262678400,147.956,147.994,147.392,147.492,6594.0,147.492,6594
1262682000,147.49,147.908,147.36,147.486,6561.0,147.486,6561
1262685600,147.484,147.53,147.042,147.116,5191.0,147.116,5191
1262689200,147.114,147.568,147.092,147.484,4347.0,147.484,4347
1262692800,147.482,147.572,147.35,147.442,4063.0,147.442,4063
1262696400,147.44,147.456,146.836,147.17,6317.0,147.17,6317
1262700000,147.168,147.168,146.614,146.625,8265.0,146.625,8265
1262703600,146.623,147.034,146.479,146.76,8339.0,146.76,8339
1262707200,146.758,146.962,146.352,146.454,6804.0,146.454,6804
1262710800,146.456,146.54,146.282,146.534,3057.0,146.534,3057
1262714400,146.532,146.532,146.146,146.33,3382.0,146.33,3382
1262718000,146.328,146.824,146.328,146.796,2605.0,146.796,2605
1262721600,146.8,146.814,146.594,146.646,1514.0,146.646,1514
1262725200,146.648,146.781,146.601,146.652,1164.0,146.652,1164
1262728800,146.654,146.859,146.643,146.672,801.0,146.672,801
1262732400,146.673,146.673,146.29,146.408,1989.0,146.408,1989
1262736000,146.41,146.45,146.004,146.284,4037.0,146.284,4037
1262739600,146.286,147.196,146.286,146.78,5066.0,146.78,5066
1262743200,146.784,146.926,146.732,146.752,2470.0,146.752,2470
1262746800,146.75,146.99,146.732,146.86,2146.0,146.86,2146
1262750400,146.862,147.146,146.842,147.122,2228.0,147.122,2228
1262754000,147.126,147.216,146.846,146.964,2411.0,146.964,2411
1262757600,146.968,147.184,146.836,147.142,5286.0,147.142,5286
1262761200,147.144,147.72,146.958,147.556,7466.0,147.556,7466
1262764800,147.558,148.004,147.506,147.702,6973.0,147.702,6973
