timestamp,open,high,low,close,volume,vw,n
1262541600,88.302,88.335,88.252,88.333,20.0,88.333,20
1262545200,88.338,88.437,88.338,88.408,90.0,88.408,90
1262548800,88.406,88.468,88.391,88.43,99.0,88.43,99
1262552400,88.446,88.466,88.351,88.373,220.0,88.373,220
1262556000,88.375,88.925,88.364,88.76,1452.0,88.76,1452
1262559600,88.762,88.799,88.491,88.555,2156.0,88.555,2156
1262563200,88.553,88.667,88.472,88.488,2599.0,88.488,2599
1262566800,88.49,88.659,88.397,88.578,1780.0,88.578,1780
1262570400,88.576,88.845,88.556,88.842,1270.0,88.842,1270
1262574000,88.839,88.855,88.518,88.603,839.0,88.603,839
1262577600,88.6,88.683,88.585,88.626,665.0,88.626,665
1262581200,88.629,88.828,88.579,88.828,719.0,88.828,719
1262584800,88.826,88.864,88.654,88.856,1682.0,88.856,1682
1262588400,88.853,88.948,88.758,88.885,2103.0,88.885,2103
1262592000,88.888,89.239,88.877,89.203,2586.0,89.203,2586
1262595600,89.206,89.266,89.059,89.221,1907.0,89.221,1907
1262599200,89.219,89.373,89.184,89.362,1410.0,89.362,1410
1262602800,89.364,89.456,89.289,89.4,1580.0,89.4,1580
1262606400,89.398,89.459,89.243,89.254,1169.0,89.254,1169
1262610000,89.252,89.501,89.027,89.079,2252.0,89.079,2252
1262613600,89.081,89.22,88.98,89.067,2914.0,89.067,2914
1262617200,89.069,89.262,88.888,89.186,4877.0,89.186,4877
1262620800,89.188,89.226,89.002,89.184,2786.0,89.184,2786
1262624400,89.182,89.236,89.108,89.156,1592.0,89.156,1592
1262628000,89.152,89.158,88.93,88.97,1361.0,88.97,1361
1262631600,88.972,88.972,88.8,88.824,950.0,88.824,950
1262635200,88.826,88.916,88.82,88.898,1091.0,88.898,1091
1262638800,88.9,88.908,88.742,88.814,983.0,88.814,983
1262642400,88.816,88.962,88.676,88.714,651.0,88.714,651
1262646000,88.716,88.853,88.677,88.832,751.0,88.832,751
1262649600,88.829,88.947,88.712,88.757,1925.0,88.757,1925
1262653200,88.759,88.795,88.553,88.736,2049.0,88.736,2049
1262656800,88.738,88.77,88.595,88.735,1288.0,88.735,1288
1262660400,88.733,88.777,88.643,88.662,863.0,88.662,863
1262664000,88.66,88.684,88.191,88.234,3112.0,88.234,3112
1262667600,88.232,88.437,88.117,88.333,2421.0,88.333,2421
1262671200,88.336,88.496,88.298,88.452,1676.0,88.452,1676
1262674800,88.455,88.641,88.447,88.532,1902.0,88.532,1902
1262678400,88.534,88.59,88.407,88.468,2255.0,88.468,2255
1262682000,88.466,88.66,88.44,88.531,2264.0,88.531,2264
1262685600,88.529,88.605,88.466,88.54,1107.0,88.54,1107
1262689200,88.543,88.921,88.52,88.876,1530.0,88.876,1530
1262692800,88.879,89.004,88.734,88.751,2000.0,88.751,2000
1262696400,88.749,88.823,88.376,88.426,3275.0,88.426,3275
1262700000,88.424,88.458,88.04,88.042,4198.0,88.042,4198
1262703600,88.045,88.348,87.928,88.302,3641.0,88.302,3641
1262707200,88.3,88.424,88.078,88.206,2350.0,88.206,2350
1262710800,88.204,88.25,88.068,88.228,1539.0,88.228,1539
1262714400,88.224,88.232,87.984,88.068,1749.0,88.068,1749
1262718000,88.064,88.286,88.062,88.248,1226.0,88.248,1226
1262721600,88.252,88.336,88.16,88.242,1128.0,88.242,1128
1262725200,88.24,88.336,88.184,88.26,1127.0,88.26,1127
1262728800,88.266,88.38,88.246,88.372,549.0,88.372,549
1262732400,88.354,88.354,88.041,88.07,960.0,88.07,960
1262736000,88.072,88.154,87.976,88.133,1884.0,88.133,1884
1262739600,88.136,88.578,88.133,88.482,2272.0,88.482,2272
1262743200,88.484,88.526,88.406,88.476,1266.0,88.476,1266
1262746800,88.474,88.663,88.456,88.552,1224.0,88.552,1224
1262750400,88.554,88.733,88.554,88.719,1081.0,88.719,1081
1262754000,88.716,88.783,88.644,88.71,1127.0,88.71,1127
1262757600,88.708,88.765,88.487,88.577,2399.0,88.577,2399
1262761200,88.579,88.761,88.498,88.679,3157.0,88.679,3157
1262764800,88.681,88.735,88.554,88.656,2169.0,88.656,2169
1262768400,88.653,88.993,88.638,88.977,2728.0,88.977,2728
1262772000,88.979,89.114,88.855,89.005,1989.0,89.005,1989
1262775600,89.007,89.152,88.986,89.101,1435.0,89.101,1435
1262779200,89.099,89.127,88.945,88.957,1344.0,88.957,1344
1262782800,88.959,88.976,88.793,88.946,3353.0,88.946,3353
1262786400,88.948,89.359,88.913,89.346,3409.0,89.346,3409
1262790000,89.341,89.598,89.278,89.564,5110.0,89.564,5110
1262793600,89.567,89.688,89.464,89.545,3593.0,89.545,3593
1262797200,89.543,89.648,89.477,89.479,1606.0,89.479,1606
1262800800,89.482,89.59,89.418,89.481,1250.0,89.481,1250
1262804400,89.478,89.628,89.361,89.487,3636.0,89.487,3636
1262808000,89.484,89.566,89.448,89.468,986.0,89.468,986
1262811600,89.469,89.564,89.352,89.418,1208.0,89.418,1208
1262815200,89.428,89.47,89.354,89.44,544.0,89.44,544
1262818800,89.442,89.523,89.421,89.492,756.0,89.492,756
1262822400,89.489,89.676,89.385,89.572,3057.0,89.572,3057
1262826000,89.57,89.588,89.409,89.417,1719.0,89.417,1719
1262829600,89.419,89.431,89.243,89.292,1408.0,89.292,1408
1262833200,89.294,89.313,89.143,89.158,893.0,89.158,893
1262836800,89.161,89.428,89.141,89.36,1072.0,89.36,1072
1262840400,89.358,89.372,89.139,89.21,1556.0,89.21,1556
1262844000,89.207,89.715,88.993,89.607,3398.0,89.607,3398
1262847600,89.609,90.02,89.534,90.004,3883.0,90.004,3883
1262851200,90.006,90.103,89.841,89.954,3159.0,89.954,3159
1262854800,89.952,90.056,89.784,89.907,2720.0,89.907,2720
1262858400,89.91,90.078,89.874,90.031,2149.0,90.031,2149
1262862000,90.033,90.095,89.994,90.081,2242.0,90.081,2242
1262865600,90.078,90.342,90.04,90.294,2919.0,90.294,2919
1262869200,90.29,90.428,90.154,90.222,4559.0,90.222,4559
1262872800,90.218,90.298,90.056,90.174,3791.0,90.174,3791
1262876400,90.176,90.178,89.858,90.044,4068.0,90.044,4068
1262880000,90.046,90.154,89.968,90.148,3178.0,90.148,3178
1262883600,90.146,90.192,89.942,89.982,2648.0,89.982,2648
1262887200,89.98,90.12,89.894,89.926,1216.0,89.926,1216
1262890800,89.924,90.106,89.868,90.042,1395.0,90.042,1395
1262894400,90.04,90.166,89.97,90.092,2121.0,90.092,2121
1262898000,90.094,90.242,90.074,90.242,1114.0,90.242,1114
1262901600,90.25,90.624,90.176,90.456,2151.0,90.456,2151
1262905200,90.454,90.465,90.297,90.355,1290.0,90.355,1290
1262908800,90.357,90.55,90.287,90.341,2576.0,90.341,2576
1262912400,90.344,90.386,90.135,90.267,2399.0,90.267,2399
1262916000,90.269,90.338,90.081,90.176,1973.0,90.176,1973
1262919600,90.174,90.193,90.083,90.149,730.0,90.149,730
1262923200,90.147,90.149,90.005,90.046,975.0,90.046,975
1262926800,90.043,90.172,90.034,90.136,1112.0,90.136,1112
1262930400,90.138,90.33,90.12,90.315,1449.0,90.315,1449
1262934000,90.317,90.354,90.16,90.193,1831.0,90.193,1831
1262937600,90.191,90.25,90.093,90.107,2030.0,90.107,2030
1262941200,90.105,90.134,89.847,90.125,2256.0,90.125,2256
1262944800,90.127,90.228,90.047,90.194,1527.0,90.194,1527
1262948400,90.192,90.486,90.099,90.405,2529.0,90.405,2529
1262952000,90.41,90.41,89.809,90.146,3447.0,90.146,3447
1262955600,90.148,90.22,89.089,89.446,8669.0,89.446,8669
1262959200,89.444,89.756,89.426,89.708,6109.0,89.708,6109
1262962800,89.712,89.948,89.678,89.864,5478.0,89.864,5478
1262966400,89.862,89.872,89.55,89.612,3088.0,89.612,3088
1262970000,89.614,89.882,89.523,89.761,2768.0,89.761,2768
1262973600,89.763,89.852,89.71,89.74,2115.0,89.74,2115
1262977200,89.742,89.855,89.663,89.766,1420.0,89.766,1420
1262980800,89.764,89.876,89.737,89.835,1143.0,89.835,1143
1262984400,89.838,90.037,89.82,89.968,1002.0,89.968,1002
1262988000,89.979,89.982,89.979,89.982,3.0,89.982,3
1263142800,89.982,89.982,89.982,89.982,2.0,89.982,2
1263146400,89.832,89.907,89.798,89.805,133.0,89.805,133
1263150000,89.809,89.906,89.797,89.813,169.0,89.813,169
1263153600,89.815,89.815,89.711,89.753,202.0,89.753,202
1263157200,89.757,90.083,89.757,90.058,506.0,90.058,506
1263160800,90.047,90.101,89.78,89.804,732.0,89.804,732
1263164400,89.802,89.956,89.732,89.823,1839.0,89.823,1839
1263168000,89.82,89.968,89.76,89.933,2160.0,89.933,2160
1263171600,89.931,89.947,89.776,89.88,1100.0,89.88,1100
1263175200,89.877,89.951,89.865,89.882,971.0,89.882,971
1263178800,89.885,89.962,89.806,89.901,1548.0,89.901,1548
1263182400,89.898,89.968,89.854,89.895,740.0,89.895,740
1263186000,89.891,89.951,89.806,89.85,820.0,89.85,820
1263189600,89.846,89.984,89.798,89.807,1126.0,89.807,1126
1263193200,89.811,89.974,89.76,89.893,1613.0,89.893,1613
1263196800,89.89,89.959,89.8,89.906,1801.0,89.906,1801
1263200400,89.904,89.983,89.85,89.913,1545.0,89.913,1545
1263204000,89.915,90.019,89.868,90.019,1329.0,90.019,1329
1263207600,90.017,90.033,89.913,89.968,1183.0,89.968,1183
1263211200,89.965,90.108,89.904,90.009,993.0,90.009,993
1263214800,90.013,90.072,89.833,89.891,2380.0,89.891,2380
1263218400,89.888,89.902,89.455,89.478,3997.0,89.478,3997
1263222000,89.481,89.555,89.137,89.27,5437.0,89.27,5437
1263225600,89.273,89.312,88.93,89.091,3634.0,89.091,3634
1263229200,89.094,89.154,88.991,89.005,1656.0,89.005,1656
1263232800,89.003,89.127,88.957,89.089,1674.0,89.089,1674
1263236400,89.091,89.145,89.021,89.113,1231.0,89.113,1231
1263240000,89.115,89.192,89.084,89.125,939.0,89.125,939
1263243600,89.127,89.178,89.04,89.098,1159.0,89.098,1159
1263247200,89.086,89.14,89.016,89.082,819.0,89.082,819
1263250800,89.082,89.143,89.042,89.085,655.0,89.085,655
1263254400,89.083,89.262,89.061,89.17,1084.0,89.17,1084
1263258000,89.168,89.181,88.784,88.796,2562.0,88.796,2562
1263261600,88.798,89.25,88.76,89.068,3280.0,89.068,3280
1263265200,89.064,89.214,89.034,89.13,1094.0,89.13,1094
1263268800,89.126,89.158,89.056,89.064,715.0,89.064,715
1263272400,89.062,89.198,89.056,89.098,747.0,89.098,747
1263276000,89.102,89.29,89.096,89.256,1436.0,89.256,1436
1263279600,89.254,89.3,88.89,88.994,2811.0,88.994,2811
1263283200,88.998,89.124,88.922,88.956,1920.0,88.956,1920
1263286800,88.958,88.968,88.648,88.82,2144.0,88.82,2144
