timestamp,open,high,low,close,volume,vw,n
1262541600,1.67476,1.67586,1.67327,1.67525,136.0,1.67525,136
1262545200,1.67513,1.67616,1.67436,1.67564,390.0,1.67564,390
1262548800,1.67566,1.67595,1.67403,1.67443,275.0,1.67443,275
1262552400,1.67441,1.67441,1.6702,1.67077,724.0,1.67077,724
1262556000,1.6707,1.67125,1.66831,1.66891,1410.0,1.66891,1410
1262559600,1.66885,1.67258,1.66854,1.67252,2524.0,1.67252,2524
1262563200,1.6725,1.67388,1.66886,1.67278,6171.0,1.67278,6171
1262566800,1.67274,1.67381,1.6719,1.67229,3627.0,1.67229,3627
1262570400,1.67221,1.6723,1.66951,1.67101,2400.0,1.67101,2400
1262574000,1.67099,1.67104,1.66865,1.66909,1533.0,1.66909,1533
1262577600,1.66905,1.66998,1.66817,1.66908,2033.0,1.66908,2033
1262581200,1.66912,1.66921,1.66673,1.66765,1493.0,1.66765,1493
1262584800,1.66769,1.66968,1.66717,1.66854,2587.0,1.66854,2587
1262588400,1.66857,1.67489,1.66837,1.67272,5286.0,1.67272,5286
1262592000,1.67268,1.6773,1.67208,1.67544,5662.0,1.67544,5662
1262595600,1.6754,1.67808,1.67378,1.67474,6890.0,1.67474,6890
1262599200,1.67476,1.67816,1.67272,1.67452,5485.0,1.67452,5485
1262602800,1.67454,1.6778,1.67442,1.67704,4721.0,1.67704,4721
1262606400,1.67706,1.67718,1.66758,1.66794,6551.0,1.66794,6551
1262610000,1.66792,1.66964,1.66604,1.66642,5020.0,1.66642,5020
1262613600,1.6664,1.66648,1.6635,1.66504,6218.0,1.66504,6218
1262617200,1.66501,1.66678,1.65626,1.6569,8345.0,1.6569,8345
1262620800,1.65686,1.65968,1.65494,1.65808,5379.0,1.65808,5379
1262624400,1.65806,1.6601,1.65788,1.6598,2578.0,1.6598,2578
1262628000,1.65982,1.6605,1.65736,1.65748,2001.0,1.65748,2001
1262631600,1.65744,1.6582,1.65634,1.65664,1922.0,1.65664,1922
1262635200,1.65668,1.65844,1.65642,1.6584,1740.0,1.6584,1740
1262638800,1.65842,1.65848,1.65639,1.65639,1326.0,1.65639,1326
1262642400,1.65642,1.65778,1.65613,1.65733,1037.0,1.65733,1037
1262646000,1.65739,1.65922,1.65681,1.65811,1442.0,1.65811,1442
1262649600,1.65813,1.65911,1.65728,1.65754,2545.0,1.65754,2545
1262653200,1.65756,1.65761,1.65195,1.65359,2715.0,1.65359,2715
1262656800,1.65357,1.65629,1.65311,1.65611,2131.0,1.65611,2131
1262660400,1.65613,1.65639,1.6547,1.65514,1350.0,1.65514,1350
1262664000,1.65511,1.65643,1.65411,1.65501,2466.0,1.65501,2466
1262667600,1.65503,1.65694,1.65473,1.65626,3411.0,1.65626,3411
1262671200,1.65629,1.6596,1.65595,1.65786,3727.0,1.65786,3727
1262674800,1.6579,1.65928,1.65444,1.65488,4494.0,1.65488,4494
1262678400,1.65492,1.65628,1.6516,1.65295,6003.0,1.65295,6003
1262682000,1.65298,1.65551,1.64962,1.65081,5051.0,1.65081,5051
1262685600,1.65077,1.6514,1.64675,1.6476,4510.0,1.6476,4510
1262689200,1.64756,1.65098,1.64743,1.65039,3606.0,1.65039,3606
1262692800,1.65042,1.65097,1.64923,1.65032,3098.0,1.65032,3098
1262696400,1.65035,1.65228,1.64794,1.65225,3989.0,1.65225,3989
1262700000,1.65221,1.65679,1.65211,1.65554,5571.0,1.65554,5571
1262703600,1.65557,1.65609,1.65299,1.65302,5340.0,1.65302,5340
1262707200,1.65299,1.65549,1.65148,1.65264,5597.0,1.65264,5597
1262710800,1.65268,1.6529,1.65082,1.65208,2805.0,1.65208,2805
1262714400,1.65206,1.65442,1.64942,1.6533,3775.0,1.6533,3775
1262718000,1.65328,1.65482,1.65314,1.65388,2953.0,1.65388,2953
1262721600,1.6539,1.65462,1.65308,1.65332,1585.0,1.65332,1585
1262725200,1.6533,1.65445,1.65266,1.65284,1241.0,1.65284,1241
1262728800,1.65273,1.65413,1.65254,1.65296,674.0,1.65296,674
1262732400,1.65296,1.65329,1.65151,1.6527,1587.0,1.6527,1587
1262736000,1.65272,1.65325,1.65059,1.65189,3055.0,1.65189,3055
1262739600,1.65191,1.65559,1.65108,1.65167,3484.0,1.65167,3484
1262743200,1.6517,1.65291,1.65122,1.65185,2409.0,1.65185,2409
1262746800,1.65187,1.65379,1.65151,1.65337,1447.0,1.65337,1447
1262750400,1.65333,1.6539,1.65204,1.6536,1314.0,1.6536,1314
1262754000,1.65362,1.65404,1.65058,1.65133,2004.0,1.65133,2004
1262757600,1.65136,1.65681,1.65012,1.65584,5142.0,1.65584,5142
1262761200,1.65586,1.66071,1.65434,1.65945,7379.0,1.65945,7379
1262764800,1.65943,1.6634,1.65823,1.65936,6124.0,1.65936,6124
1262768400,1.65933,1.66008,1.65371,1.65505,6262.0,1.65505,6262
1262772000,1.65507,1.65673,1.65175,1.65234,4370.0,1.65234,4370
1262775600,1.65232,1.65266,1.65082,1.65182,3388.0,1.65182,3388
1262779200,1.65179,1.65276,1.64851,1.64867,4129.0,1.64867,4129
1262782800,1.64869,1.6505,1.64676,1.64793,4846.0,1.64793,4846
1262786400,1.6479,1.65059,1.64729,1.6474,5604.0,1.6474,5604
1262790000,1.64742,1.64855,1.6449,1.64734,7014.0,1.64734,7014
1262793600,1.64732,1.65026,1.6455,1.64682,6063.0,1.64682,6063
1262797200,1.64686,1.6473,1.64474,1.64506,2509.0,1.64506,2509
1262800800,1.64508,1.64632,1.64464,1.64466,1884.0,1.64466,1884
1262804400,1.64462,1.64515,1.64232,1.6447,5341.0,1.6447,5341
1262808000,1.64466,1.64692,1.64442,1.64616,1909.0,1.64616,1909
1262811600,1.64616,1.64709,1.64554,1.64605,1550.0,1.64605,1550
1262815200,1.64579,1.64689,1.64486,1.64601,1332.0,1.64601,1332
1262818800,1.64599,1.64715,1.64573,1.64646,993.0,1.64646,993
1262822400,1.64643,1.64756,1.64175,1.64432,5839.0,1.64432,5839
1262826000,1.6443,1.64505,1.64374,1.64474,1920.0,1.64474,1920
1262829600,1.64477,1.64658,1.64456,1.64558,2334.0,1.64558,2334
1262833200,1.6456,1.64668,1.64459,1.64539,1257.0,1.64539,1257
1262836800,1.64537,1.64718,1.64469,1.64648,1737.0,1.64648,1737
1262840400,1.64646,1.64665,1.64226,1.64305,2630.0,1.64305,2630
1262844000,1.64308,1.64616,1.64241,1.64555,4232.0,1.64555,4232
1262847600,1.64553,1.64705,1.64162,1.64268,5105.0,1.64268,5105
1262851200,1.64266,1.64714,1.64062,1.64364,7259.0,1.64364,7259
